cond1,cond2,tax
Supplier Parent Name Contains STAPLES,Description Contains BOARD,4412
Supplier Parent Name Contains STAPLES,Description Contains PENCIL,4412176
Supplier Parent Name Contains STAPLES,Description Contains CLEANER,44111912
Supplier Parent Name Contains STAPLES,Description Contains PAPER,432121
Supplier Parent Name Contains STAPLES,Description Contains BINDER,44122027
Supplier Parent Name Contains STAPLES,Description Contains FILE,4410163
Supplier Parent Name Contains STAPLES,Description Contains SHREDDER,4411195
Supplier Parent Name Contains STAPLES,Description Contains DRY ERASE,441215
Supplier Parent Name Contains STAPLES,Description Contains ENVELOPE,551015
Supplier Parent Name Contains STAPLES,Description Contains BOOK,4412214
Supplier Parent Name Contains STAPLES,Description Contains CLIP,441031
Supplier Parent Name Contains STAPLES,Employee ID Contains INK,432121
Supplier Parent Name Contains STAPLES,Description Contains PRINTER,5610154
Supplier Parent Name Contains STAPLES,Description Contains CHAIR,441031
Supplier Parent Name Contains STAPLES,Description Contains TONER,4411197
Supplier Parent Name Contains STAPLES,Description Contains BOARD CORK,551216
Supplier Parent Name Contains STAPLES,Description Contains LABELS,441031
Supplier Parent Name Contains STAPLES,Description Contains PRINTER INK,441031
Supplier Parent Name Contains STAPLES,Description Contains CARTRIDGE,43211711
Supplier Parent Name Contains STAPLES,Description Contains SCANNER,141118
Supplier Parent Name Contains STAPLES,Description Contains STICKY,551216
Supplier Parent Name Contains STAPLES,Description Contains BADGES,841116
Supplier Parent Name Contains STAPLES,Description Contains MONITOR,432119
Supplier Parent Name Contains STAPLES,Description Contains BADGE HOLDER,5512184
